day,count
15,862
18,833
16,818
14,813
17,807
13,756
12,705
20,692
19,691
21,674
11,582
22,574
23,533
0,501
10,475
9,453
1,415
8,415
2,369
7,347
3,312
4,277
6,250
5,200
